epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,1874.42,0.67459,0.96641,1.18036,0.66137,0.60401,0.64807,0.51857,0.71385,0.99138,1.0798,0.0006436,0.0006436,0.0006436
29,1941.39,0.66669,0.95776,1.16796,0.64425,0.56492,0.61655,0.5103,0.67549,1.10273,1.03405,0.0006304,0.0006304,0.0006304
30,2007.81,0.66645,0.94149,1.1755,0.76079,0.5443,0.65506,0.53076,0.69476,0.98402,1.06783,0.0006172,0.0006172,0.0006172
31,2073.42,0.66835,0.94787,1.16875,0.74019,0.53449,0.63916,0.5212,0.66023,1.01243,1.03218,0.000604,0.000604,0.000604
32,2139.33,0.66666,0.93776,1.17369,0.75363,0.54749,0.63793,0.52786,0.65847,0.97188,1.02853,0.0005908,0.0005908,0.0005908
33,2205.79,0.64693,0.91535,1.15815,0.64316,0.60666,0.64746,0.53443,0.65743,0.96303,1.03152,0.0005776,0.0005776,0.0005776
34,2273.65,0.65363,0.91168,1.16297,0.71512,0.58837,0.66463,0.54733,0.65355,0.93897,1.02753,0.0005644,0.0005644,0.0005644
35,2339.43,0.65072,0.90474,1.15664,0.74086,0.56447,0.65041,0.55087,0.62709,0.9098,1.00059,0.0005512,0.0005512,0.0005512
36,2406,0.63302,0.87288,1.14749,0.78468,0.53713,0.66229,0.55709,0.64865,0.93166,1.01785,0.000538,0.000538,0.000538
37,2473.1,0.65307,0.88407,1.15474,0.71637,0.55803,0.65512,0.54062,0.64662,0.94701,1.01819,0.0005248,0.0005248,0.0005248
38,2540.11,0.62704,0.8656,1.1473,0.66673,0.64281,0.67229,0.56667,0.63784,0.94227,1.00811,0.0005116,0.0005116,0.0005116
39,2606.56,0.6356,0.85661,1.14625,0.64769,0.63224,0.67715,0.55849,0.63242,0.9445,0.99825,0.0004984,0.0004984,0.0004984
40,2673.16,0.62842,0.84682,1.14479,0.7443,0.61545,0.68022,0.57316,0.62545,0.89053,0.99651,0.0004852,0.0004852,0.0004852
41,2740.45,0.61156,0.79904,1.13438,0.8244,0.54668,0.67454,0.56322,0.64016,0.90056,1.00593,0.000472,0.000472,0.000472
42,2807.22,0.63163,0.82306,1.14418,0.70765,0.61786,0.67421,0.55891,0.63977,0.89264,1.01759,0.0004588,0.0004588,0.0004588
43,2872.73,0.60291,0.78818,1.13158,0.80185,0.59288,0.68705,0.56331,0.62845,0.88927,1.00286,0.0004456,0.0004456,0.0004456
44,2938.98,0.61605,0.79679,1.13477,0.72956,0.60984,0.70196,0.58463,0.61673,0.86002,0.98537,0.0004324,0.0004324,0.0004324
45,3006.81,0.6166,0.78601,1.13079,0.78792,0.59432,0.69941,0.59375,0.60744,0.83447,0.97536,0.0004192,0.0004192,0.0004192
46,3073.91,0.60226,0.75558,1.12211,0.75638,0.59784,0.69721,0.5915,0.61946,0.84365,0.9917,0.000406,0.000406,0.000406
47,3139.55,0.59412,0.76332,1.12364,0.79049,0.58134,0.67375,0.56902,0.61992,0.88117,0.99126,0.0003928,0.0003928,0.0003928
48,3206.65,0.59873,0.75094,1.12349,0.77007,0.58756,0.68898,0.57018,0.63028,0.87588,0.99262,0.0003796,0.0003796,0.0003796
49,3274.45,0.57936,0.73342,1.10707,0.78684,0.60102,0.7028,0.59251,0.61034,0.81603,0.97203,0.0003664,0.0003664,0.0003664
50,3340.95,0.60049,0.74562,1.11861,0.7663,0.61745,0.708,0.59947,0.60646,0.83326,0.97722,0.0003532,0.0003532,0.0003532
51,3407,0.58133,0.7146,1.11085,0.74195,0.62208,0.69118,0.57919,0.60893,0.83827,0.99039,0.00034,0.00034,0.00034
52,3473.88,0.59007,0.72205,1.11656,0.82328,0.57881,0.70543,0.59332,0.60116,0.85695,0.97309,0.0003268,0.0003268,0.0003268
53,3540.73,0.57995,0.71557,1.10846,0.75585,0.62713,0.69778,0.587,0.60166,0.83622,0.96713,0.0003136,0.0003136,0.0003136
54,3607.48,0.58605,0.70657,1.11459,0.79233,0.59971,0.69241,0.59729,0.57881,0.80197,0.94843,0.0003004,0.0003004,0.0003004
55,3672.23,0.57571,0.69548,1.11079,0.76702,0.6295,0.70029,0.5821,0.59672,0.81459,0.97089,0.0002872,0.0002872,0.0002872
56,3738.65,0.56158,0.66831,1.09791,0.77989,0.62346,0.69841,0.58777,0.59328,0.80444,0.95845,0.000274,0.000274,0.000274
57,3805.49,0.56242,0.66249,1.09224,0.8203,0.60462,0.71001,0.60493,0.58186,0.81469,0.94963,0.0002608,0.0002608,0.0002608
58,3871.02,0.5609,0.65427,1.09302,0.78853,0.64116,0.71971,0.60585,0.59013,0.792,0.95263,0.0002476,0.0002476,0.0002476
59,3938.27,0.55932,0.65588,1.09213,0.76183,0.61382,0.68973,0.58736,0.61116,0.81541,0.97314,0.0002344,0.0002344,0.0002344
60,4003.97,0.56216,0.65272,1.09855,0.78297,0.61086,0.7118,0.59951,0.60935,0.82758,0.97337,0.0002212,0.0002212,0.0002212
61,4069.42,0.5587,0.64839,1.09842,0.82748,0.60299,0.70449,0.60377,0.5864,0.8225,0.95224,0.000208,0.000208,0.000208
62,4135.4,0.5494,0.63554,1.09054,0.83584,0.57308,0.68894,0.59886,0.59537,0.81724,0.96634,0.0001948,0.0001948,0.0001948
63,4202.04,0.5545,0.62522,1.09495,0.78186,0.64266,0.71618,0.60366,0.58818,0.8051,0.95327,0.0001816,0.0001816,0.0001816
64,4267.66,0.54824,0.63492,1.0846,0.73517,0.68165,0.71588,0.59887,0.59087,0.81418,0.9608,0.0001684,0.0001684,0.0001684
65,4332.83,0.54935,0.62263,1.09151,0.78874,0.64155,0.70917,0.60057,0.5816,0.81663,0.94948,0.0001552,0.0001552,0.0001552
66,4402,0.49043,0.55872,1.05703,0.79632,0.62869,0.70529,0.60662,0.58007,0.78664,0.94289,0.000142,0.000142,0.000142
67,4466.47,0.47544,0.50648,1.04728,0.78216,0.65223,0.70942,0.60826,0.58317,0.77232,0.95115,0.0001288,0.0001288,0.0001288
68,4529.76,0.45621,0.48052,1.03127,0.79326,0.65699,0.72702,0.61402,0.57553,0.77419,0.94673,0.0001156,0.0001156,0.0001156
69,4593.97,0.45625,0.47566,1.03112,0.75918,0.6723,0.72312,0.60833,0.58207,0.78196,0.94918,0.0001024,0.0001024,0.0001024
70,4656.36,0.45692,0.47005,1.03401,0.79981,0.65112,0.70498,0.60004,0.5843,0.78317,0.95127,8.92e-05,8.92e-05,8.92e-05
71,4719.98,0.44591,0.45149,1.02119,0.8516,0.60405,0.70551,0.59902,0.58326,0.77236,0.95609,7.6e-05,7.6e-05,7.6e-05
72,4782.46,0.44648,0.45359,1.03296,0.8157,0.6169,0.71118,0.59872,0.57338,0.77096,0.94564,6.28e-05,6.28e-05,6.28e-05
73,4847.46,0.43772,0.44374,1.02295,0.77912,0.66053,0.71649,0.60815,0.56929,0.76181,0.9411,4.96e-05,4.96e-05,4.96e-05
74,4910.67,0.43501,0.42604,1.01575,0.81471,0.66012,0.72058,0.61125,0.56789,0.75686,0.93733,3.64e-05,3.64e-05,3.64e-05
75,4974.47,0.43571,0.43929,1.0184,0.80285,0.65105,0.71721,0.61124,0.56586,0.75874,0.937,2.32e-05,2.32e-05,2.32e-05
