epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5386,0.90605,2.37492,1.34417,0.32292,0.35063,0.27086,0.19657,0.97763,2.35437,1.40364,0.0671692,0.000331624,0.000331624
2,139.4,0.93076,1.87421,1.37022,0.27577,0.35886,0.30965,0.22937,0.92248,2.22483,1.32301,0.0341605,0.00065618,0.00065618
3,206.674,0.9106,1.7469,1.34902,0.45262,0.24835,0.24977,0.17559,1.02474,2.18013,1.39606,0.00114288,0.000971936,0.000971936
4,273.513,0.94013,1.68746,1.37255,0.4491,0.41001,0.39414,0.2729,0.97247,2.02525,1.35061,0.0009604,0.0009604,0.0009604
5,340.845,0.90734,1.62478,1.34353,0.39486,0.43975,0.39863,0.31364,0.90114,1.73655,1.30582,0.0009472,0.0009472,0.0009472
6,408.013,0.8777,1.56675,1.33171,0.33589,0.45037,0.38591,0.28933,0.9997,1.82934,1.41531,0.000934,0.000934,0.000934
7,474.213,0.83738,1.45068,1.29757,0.4935,0.42567,0.43653,0.33909,0.86331,1.65987,1.25338,0.0009208,0.0009208,0.0009208
8,541.208,0.84253,1.43491,1.30417,0.35575,0.40405,0.35869,0.27102,0.93768,1.84402,1.32771,0.0009076,0.0009076,0.0009076
9,607.651,0.81709,1.42003,1.286,0.50975,0.45063,0.44214,0.31776,0.97313,1.69762,1.36206,0.0008944,0.0008944,0.0008944
10,674.192,0.79501,1.36286,1.26813,0.54929,0.43681,0.46364,0.37091,0.76197,1.45732,1.13756,0.0008812,0.0008812,0.0008812
11,740.299,0.78549,1.31494,1.26362,0.63665,0.51261,0.55342,0.44409,0.77874,1.2354,1.16083,0.000868,0.000868,0.000868
12,807.28,0.76513,1.28076,1.24131,0.74139,0.41472,0.50566,0.39526,0.80979,1.44173,1.19608,0.0008548,0.0008548,0.0008548
13,873.516,0.77298,1.23463,1.25464,0.66581,0.47489,0.55448,0.44973,0.75826,1.1754,1.12734,0.0008416,0.0008416,0.0008416
14,940.829,0.75073,1.21767,1.23688,0.71266,0.53142,0.595,0.47535,0.76395,1.1631,1.13351,0.0008284,0.0008284,0.0008284
15,1007,0.74291,1.19753,1.22867,0.44742,0.54255,0.53998,0.4248,0.76604,1.43144,1.13875,0.0008152,0.0008152,0.0008152
16,1073.73,0.7445,1.18429,1.22628,0.69887,0.417,0.54215,0.42602,0.7552,1.25424,1.13472,0.000802,0.000802,0.000802
17,1140.7,0.74894,1.16431,1.2225,0.60135,0.52427,0.55624,0.45226,0.7269,1.33505,1.09048,0.0007888,0.0007888,0.0007888
18,1206.98,0.72371,1.14624,1.21312,0.67005,0.51551,0.59126,0.47739,0.7335,1.19135,1.11043,0.0007756,0.0007756,0.0007756
19,1272.24,0.70972,1.12018,1.20674,0.72502,0.4821,0.58303,0.48205,0.69092,1.11538,1.0744,0.0007624,0.0007624,0.0007624
20,1339.87,0.71758,1.09612,1.2122,0.67728,0.51156,0.58666,0.48068,0.71429,1.06996,1.08423,0.0007492,0.0007492,0.0007492
21,1407.01,0.7074,1.07676,1.20356,0.72103,0.52853,0.60361,0.48838,0.71419,1.10257,1.09329,0.000736,0.000736,0.000736
22,1474.79,0.70734,1.06156,1.20095,0.59656,0.55147,0.61219,0.50222,0.69983,1.11282,1.0762,0.0007228,0.0007228,0.0007228
23,1541.75,0.69296,1.0529,1.19342,0.74832,0.51921,0.61794,0.50061,0.69358,1.08802,1.06273,0.0007096,0.0007096,0.0007096
24,1607.78,0.69071,1.02348,1.18778,0.67877,0.51346,0.59595,0.48196,0.7125,1.12496,1.08246,0.0006964,0.0006964,0.0006964
25,1674.77,0.69772,1.01677,1.18881,0.71353,0.56074,0.63363,0.52094,0.70193,1.08534,1.06852,0.0006832,0.0006832,0.0006832
26,1741.94,0.68689,1.00412,1.18829,0.72296,0.56291,0.64249,0.53213,0.66614,0.98857,1.03133,0.00067,0.00067,0.00067
27,1808.8,0.68276,0.97555,1.1779,0.62832,0.53618,0.59072,0.48688,0.67517,1.11363,1.05188,0.0006568,0.0006568,0.0006568
