epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,57289.8,0.9956,1.03839,1.02539,0.52951,0.31496,0.32976,0.24614,1.1227,2.09207,1.09821,0.000121667,0.000121667,0.000121667
39,58769.7,0.98534,1.01075,1.02035,0.50133,0.3306,0.33228,0.25055,1.10297,2.09668,1.09307,0.000112658,0.000112658,0.000112658
40,60290.4,0.99467,0.99853,1.02719,0.53572,0.32986,0.33532,0.2512,1.10962,2.08841,1.09283,0.000103649,0.000103649,0.000103649
41,61801.4,0.94736,0.93232,0.98546,0.54735,0.32687,0.33676,0.25527,1.11334,2.09563,1.09854,9.464e-05,9.464e-05,9.464e-05
42,63573.2,0.92406,0.86623,0.97561,0.53923,0.33593,0.34475,0.26089,1.11745,2.09281,1.0991,8.5631e-05,8.5631e-05,8.5631e-05
43,65150.7,0.91086,0.83479,0.96854,0.53552,0.33579,0.34654,0.26236,1.1111,2.07525,1.09752,7.6622e-05,7.6622e-05,7.6622e-05
44,66792.7,0.90384,0.81291,0.96089,0.53489,0.33202,0.34755,0.26283,1.10574,2.1044,1.09093,6.7613e-05,6.7613e-05,6.7613e-05
45,68411,0.89269,0.79935,0.95856,0.55992,0.34373,0.3519,0.26634,1.10025,2.08497,1.09206,5.8604e-05,5.8604e-05,5.8604e-05
46,69994.3,0.89079,0.77786,0.95878,0.54683,0.34757,0.35343,0.26741,1.10165,2.08418,1.09127,4.9595e-05,4.9595e-05,4.9595e-05
47,71586.8,0.88189,0.77022,0.9525,0.61272,0.33619,0.35972,0.27287,1.09373,2.07537,1.08705,4.0586e-05,4.0586e-05,4.0586e-05
48,73144.2,0.88188,0.76795,0.95134,0.53826,0.35107,0.35722,0.27046,1.09735,2.06502,1.08865,3.1577e-05,3.1577e-05,3.1577e-05
49,74687.6,0.87569,0.76091,0.94826,0.55013,0.34686,0.35887,0.27173,1.09696,2.06037,1.08775,2.2568e-05,2.2568e-05,2.2568e-05
50,76239.8,0.87382,0.74613,0.94664,0.55279,0.34274,0.36101,0.27449,1.09388,2.06042,1.08675,1.3559e-05,1.3559e-05,1.3559e-05
