epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1444.2,1.37943,4.10716,1.25535,0.2778,0.14265,0.05644,0.0379,1.27915,3.86265,1.19068,0.00015109,0.00015109,0.00015109
2,2927.85,1.37281,3.37349,1.2503,0.17987,0.18915,0.07837,0.05329,1.28789,3.68313,1.20005,0.000296762,0.000296762,0.000296762
3,4416.98,1.35565,3.13431,1.23229,0.18828,0.16502,0.08959,0.05978,1.31284,3.37436,1.21403,0.000436428,0.000436428,0.000436428
4,5926.3,1.35111,2.94327,1.23184,0.24488,0.23209,0.11421,0.07718,1.3173,3.18705,1.21134,0.000427973,0.000427973,0.000427973
5,7461.01,1.32088,2.75549,1.21806,0.21433,0.19339,0.10784,0.07153,1.28782,3.08993,1.20905,0.000418964,0.000418964,0.000418964
6,8982.84,1.30514,2.62868,1.21246,0.25281,0.20834,0.1415,0.09655,1.26427,2.83068,1.19896,0.000409955,0.000409955,0.000409955
7,10530.7,1.28919,2.49247,1.19641,0.26687,0.19601,0.14775,0.10282,1.24467,2.78515,1.1722,0.000400946,0.000400946,0.000400946
8,12077.5,1.27983,2.3869,1.18687,0.29359,0.21143,0.15758,0.10734,1.26034,2.63004,1.18013,0.000391937,0.000391937,0.000391937
9,13630.1,1.26979,2.27422,1.17901,0.29891,0.2336,0.17319,0.12175,1.21067,2.6423,1.15447,0.000382928,0.000382928,0.000382928
10,15168,1.25575,2.21895,1.16922,0.38137,0.23026,0.19048,0.13404,1.2091,2.56785,1.16861,0.000373919,0.000373919,0.000373919
11,16700.7,1.22587,2.14861,1.16256,0.36567,0.22251,0.19567,0.13995,1.18833,2.48306,1.14663,0.00036491,0.00036491,0.00036491
12,18249.7,1.213,2.03922,1.14282,0.32065,0.26849,0.20659,0.14724,1.18611,2.42062,1.15071,0.000355901,0.000355901,0.000355901
13,19777.7,1.20727,1.98317,1.14238,0.33637,0.26201,0.20591,0.14618,1.21433,2.46075,1.14602,0.000346892,0.000346892,0.000346892
14,21323.6,1.19807,1.92833,1.13386,0.34521,0.26067,0.2135,0.15176,1.21031,2.37898,1.16177,0.000337883,0.000337883,0.000337883
15,22878.8,1.18204,1.84445,1.12636,0.35306,0.26142,0.2113,0.15119,1.19782,2.37732,1.15114,0.000328874,0.000328874,0.000328874
16,24414.3,1.17326,1.76665,1.127,0.38774,0.25943,0.22695,0.16086,1.19684,2.39248,1.15975,0.000319865,0.000319865,0.000319865
17,25912.6,1.16388,1.70802,1.11917,0.40625,0.26506,0.2348,0.16877,1.19823,2.30272,1.15001,0.000310856,0.000310856,0.000310856
18,27408.9,1.15866,1.69831,1.1137,0.39125,0.2651,0.23814,0.17479,1.17504,2.28793,1.13304,0.000301847,0.000301847,0.000301847
19,28901.6,1.13141,1.59267,1.10585,0.42543,0.25528,0.23591,0.17534,1.15421,2.31194,1.12731,0.000292838,0.000292838,0.000292838
20,30396.2,1.13138,1.57658,1.10464,0.45658,0.25504,0.24764,0.18266,1.18003,2.293,1.13214,0.000283829,0.000283829,0.000283829
21,31909,1.12276,1.53852,1.09393,0.37247,0.27204,0.24935,0.181,1.19589,2.31304,1.13301,0.00027482,0.00027482,0.00027482
22,33400.7,1.12202,1.48675,1.0952,0.3567,0.28629,0.25093,0.18322,1.20344,2.33212,1.14996,0.000265811,0.000265811,0.000265811
23,34899,1.10153,1.43123,1.08302,0.50121,0.26651,0.26703,0.19315,1.15205,2.23923,1.11948,0.000256802,0.000256802,0.000256802
24,36390.1,1.10932,1.39514,1.07919,0.46781,0.29903,0.28081,0.20768,1.17146,2.21104,1.13552,0.000247793,0.000247793,0.000247793
25,37891.3,1.10081,1.38078,1.07663,0.45478,0.29497,0.27333,0.20293,1.15249,2.22948,1.12404,0.000238784,0.000238784,0.000238784
26,39378.8,1.07708,1.32177,1.06771,0.41447,0.29203,0.28252,0.20933,1.14261,2.18443,1.12397,0.000229775,0.000229775,0.000229775
27,40891.8,1.06741,1.27796,1.06297,0.45779,0.29557,0.28697,0.21422,1.13627,2.23375,1.11947,0.000220766,0.000220766,0.000220766
28,42396.4,1.07219,1.27512,1.06302,0.47395,0.28451,0.28814,0.21687,1.13587,2.20508,1.11283,0.000211757,0.000211757,0.000211757
29,43907.8,1.04649,1.23425,1.05949,0.48887,0.30577,0.30098,0.22554,1.13645,2.16296,1.11427,0.000202748,0.000202748,0.000202748
30,45402.1,1.05127,1.22062,1.05816,0.44447,0.3081,0.3058,0.22834,1.13349,2.14788,1.11173,0.000193739,0.000193739,0.000193739
31,46918.8,1.0502,1.19326,1.05436,0.47629,0.30747,0.30907,0.22975,1.13803,2.12178,1.11449,0.00018473,0.00018473,0.00018473
32,48410.5,1.03856,1.16094,1.0505,0.48384,0.30582,0.3106,0.23098,1.14474,2.12996,1.11791,0.000175721,0.000175721,0.000175721
33,49914.4,1.02184,1.13209,1.03923,0.53085,0.31603,0.32348,0.24331,1.11532,2.10401,1.10643,0.000166712,0.000166712,0.000166712
34,51402.6,1.03518,1.12374,1.04558,0.49479,0.31266,0.31532,0.23677,1.11407,2.14014,1.1008,0.000157703,0.000157703,0.000157703
35,52828.3,1.0076,1.09005,1.0333,0.56359,0.31389,0.32697,0.24243,1.14589,2.14353,1.11676,0.000148694,0.000148694,0.000148694
36,54300.4,0.99826,1.06485,1.03109,0.49638,0.3171,0.32695,0.2435,1.12968,2.10387,1.10953,0.000139685,0.000139685,0.000139685
37,55781.4,1.00126,1.04869,1.03079,0.55742,0.30751,0.32811,0.24556,1.11703,2.10502,1.09875,0.000130676,0.000130676,0.000130676
